,train,val,test
0,patient_037_node_4,patient_002_node_2,patient_012_node_4
1,patient_059_node_2,test_128,normal_084
2,patient_003_node_2,patient_007_node_0,normal_044
3,patient_053_node_1,patient_061_node_3,normal_008
4,patient_026_node_1,test_047,patient_030_node_2
5,patient_080_node_3,test_059,test_126
6,patient_052_node_2,patient_004_node_2,patient_092_node_2
7,tumor_048,normal_145,patient_082_node_1
8,,patient_093_node_3,patient_091_node_0
9,,patient_036_node_0,normal_156
10,,normal_118,normal_006
11,,normal_055,patient_022_node_2
12,,patient_083_node_3,patient_058_node_4
13,,normal_073,patient_000_node_0
14,,patient_060_node_2,patient_032_node_4
15,,patient_023_node_3,normal_038
16,,patient_065_node_1,patient_028_node_4
17,,patient_047_node_3,normal_135
18,,patient_084_node_0,patient_078_node_2
19,,normal_042,normal_147
20,,normal_157,patient_060_node_1
21,,normal_103,patient_041_node_4
22,,patient_072_node_3,patient_051_node_3
23,,test_022,patient_074_node_3
24,,patient_022_node_3,normal_149
25,,patient_099_node_1,normal_045
26,,patient_002_node_1,test_095
27,,patient_057_node_4,test_057
28,,normal_050,patient_071_node_0
29,,normal_059,patient_065_node_2
30,,normal_001,patient_008_node_4
31,,test_083,patient_074_node_1
32,,normal_155,normal_115
33,,normal_029,patient_068_node_2
34,,test_042,patient_083_node_2
35,,normal_119,patient_032_node_2
36,,patient_090_node_4,patient_064_node_4
37,,normal_016,patient_035_node_4
38,,normal_142,test_103
39,,patient_011_node_3,patient_035_node_3
40,,normal_037,patient_053_node_4
41,,normal_116,patient_059_node_1
42,,test_053,patient_031_node_1
43,,patient_042_node_4,normal_085
44,,patient_005_node_0,normal_080
45,,patient_002_node_0,test_018
46,,patient_041_node_2,test_036
47,,normal_100,test_091
48,,patient_054_node_3,normal_098
49,,patient_081_node_3,patient_078_node_0
50,,patient_095_node_3,test_058
51,,patient_004_node_1,test_045
52,,test_120,patient_058_node_1
53,,patient_010_node_2,patient_042_node_0
54,,patient_034_node_0,patient_035_node_1
55,,patient_044_node_2,patient_049_node_0
56,,normal_097,patient_057_node_1
57,,patient_070_node_0,patient_085_node_0
58,,test_089,patient_071_node_1
59,,normal_052,patient_005_node_1
60,,normal_007,normal_087
